author_name,database,datestamp,document_type,doi,id,identifier,keywords,language,msc,ref_ids,reviewer_name,subtitle,text,title,year,zbmath_url
Not available; Not available; Not available,Zbl,2023-01-31T14:16:57Z,journal article,https://doi.org/10.1007/s00184-022-00860-7,7647744,1506.6234,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""62J05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Linear regression; mixed models""
}, {
     ""code"": ""62J07"",
   ""scheme"": ""msc2020"",
     ""text"": ""Ridge regression; shrinkage estimators (Lasso)""
}]",6470429; 5874490; 5582008; 5882801; 6165730; 2073059; 6193961; 3671397; 3194159; 6477031; 5661401; 5865454; 845714; 6872475; 6970948; 6549024; 6848865; 6787275; 850975; 5145624,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2023,https://zbmath.org/7647744
Not available; Not available; Not available,Zbl,2019-09-26T09:59:08Z,journal article,https://doi.org/10.1080/14697688.2018.1521002,7110436,1420.91548,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""91G99"",
   ""scheme"": ""msc2020"",
     ""text"": ""Actuarial science and mathematical finance""
}, {
     ""code"": ""68T05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Learning and adaptive systems in artificial intelligence""
}]",5789665; 5882392; 7013620; 6873630; 6410344; 6981179; 7013637; 7013646,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2019,https://zbmath.org/7110436
Not available; Not available,Zbl,2019-02-06T11:04:59Z,journal article,https://doi.org/10.1080/14697688.2017.1417624,7013637,1406.91425,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""91G10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Portfolio theory""
}, {
     ""code"": ""60J75"",
   ""scheme"": ""msc2010"",
     ""text"": ""Jump processes""
}]",5789665; 1963354; 6260415; 6714817; 811636; 5009958; 6459781; 6979450; 7001026; 5666935; 2108978; 5936950; 2237353; 6936467; 6976846; 6976846; 6073774; 7110436; 6873630; 6221230; 6981179; 2019689; 1558390; 6291826; 5258793; 1869269; 5347882; 5763869; 5319236; 7013646; 1813698; 6429536,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2018,https://zbmath.org/7013637
Not available; Not available; Not available,Zbl,2019-02-06T11:04:59Z,journal article,https://doi.org/10.1080/14697688.2018.1438642,7013646,1407.62178,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""62H05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Characterization and structure theory for multivariate probability distributions; copulas""
}, {
     ""code"": ""62P05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of statistics to actuarial sciences and financial mathematics""
}]",5553072; 5789665; 6446852; 1829108; 6249104; 6017927; 6872264; 5080942; 6979450; 6210174; 6033263; 7665887; 6975312; 3942782; 5643222; 6449489; 679630; 1134711; 7110436; 2107365; 6873630; 5032455; 5017895; 6981276; 6554532; 2141387; 6981182; 5144926; 3163305; 6446516; 7013637; 6635773; 7002135; 6880307,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2018,https://zbmath.org/7013646
"Imbert, Alyssa; Vialaneix, Nathalie",Zbl,2018-11-16T17:20:15Z,journal article,,6980773,1406.62104,missing data; imputation,French,"JSON3.Object[{
     ""code"": ""62N01"",
   ""scheme"": ""msc2020"",
     ""text"": ""Censored data models""
}, {
     ""code"": ""62-07"",
   ""scheme"": ""msc2010"",
     ""text"": ""Data analysis (statistics)""
}]",,,,"Summary: Missing data is strongly connected to statistics that is concerned with the collect and pre-processing of data. In this article, we review the different methods that can be used to diagnose and impute missing data. We also present approaches aiming at evaluating the impact of imputation on subsequent analyses. Finally, we describe available implementations, in \texttt{R} packages, of the presented methods.","Exploring, handling, imputing and evaluating missing data in statistical analyses: a review of existing approaches",2018,https://zbmath.org/6980773
"Howard, James P. II",Zbl,2017-05-17T13:32:20Z,book / book article,,6718348,1379.65001,R language; software; linear algebra; interpolation; numerical integration; root finding; optimisation; differential equations,English,"JSON3.Object[{
     ""code"": ""65-01"",
   ""scheme"": ""msc2020"",
     ""text"": ""Introductory exposition (textbooks, tutorial papers, etc.) pertaining to numerical analysis""
}, {
     ""code"": ""68N15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Theory of programming languages""
}, {
     ""code"": ""65Y15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Packaged methods for numerical algorithms""
}, {
     ""code"": ""65Fxx"",
   ""scheme"": ""msc2020"",
     ""text"": ""Numerical linear algebra""
}, {
     ""code"": ""65D05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Numerical interpolation""
}, {
     ""code"": ""65D32"",
   ""scheme"": ""msc2020"",
     ""text"": ""Numerical quadrature and cubature formulas""
}, {
     ""code"": ""65H05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Numerical computation of solutions to single equations""
}, {
     ""code"": ""65K05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Numerical mathematical programming methods""
}]",,Matti Vuorinen,,"The R language is a free software which during the past decade has become a popular tool in statistics and data science applications. Its power relies on the active user forum which provides a huge number of user contributed software packages for specific computational tasks. Also the software of this book is available in this way. The author says that the book is written for advanced undergraduate or first year graduate student as a collateral text for numerical analysis courses. The theoretical part of numerical analysis is mostly omitted, the focus is to present a working R code for many basic tasks of numerical computation including linear algebra, interpolation, numerical integration, root finding and optimisation and differential equations. The presentation is very clear and reader friendly.",Computational methods for numerical analysis with R,2017,https://zbmath.org/6718348
"Wicke, Kristina; Fischer, Mareike",Zbl,2018-03-15T09:27:18Z,journal article,https://doi.org/10.1016/j.jtbi.2017.07.010,6850285,1382.92207,phylogenetic diversity; Shapley value; fair proportion index; ranking order; ultrametric; computation,English,"JSON3.Object[{
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}]",6498042; 5312991; 6225309; 6643256,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Comparing the rankings obtained from two biodiversity indices: the fair proportion index and the Shapley value,2017,https://zbmath.org/6850285
"Cybis, Gabriela B.; Sinsheimer, Janet S.; Bedford, Trevor; Mather, Alison E.; Lemey, Philippe; Suchard, Marc A.",Zbl,2015-10-28T16:28:01Z,journal article,https://doi.org/10.1214/15-AOAS821,6499939,1454.62324,Bayesian phylogenetics; threshold model; evolution; genotype-phenotype correlation,English,"JSON3.Object[{
     ""code"": ""62P10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of statistics to biology and medical sciences; meta analysis""
}]",5074264; 571517; 6499939; 3017431; 1773830,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Assessing phenotypic correlation through the multivariate phylogenetic latent liability model,2015,https://zbmath.org/6499939
"Mitov, Venelin; Bartoszek, Krzysztof; Asimomitis, Georgios; Stadler, Tanja",Zbl,2020-01-23T17:17:08Z,journal article,https://doi.org/10.1016/j.tpb.2019.11.005,7157310,1516.92058,pruning; drift; selection; punctuated equilibrium; Lévy process; jumps,English,"JSON3.Object[{
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}, {
     ""code"": ""60J70"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of Brownian motions and diffusion theory (population genetics, absorption problems, etc.)""
}, {
     ""code"": ""60G51"",
   ""scheme"": ""msc2020"",
     ""text"": ""Processes with independent increments; Lévy processes""
}]",6318925; 6946743; 6499939; 3323598; 6159604; 6507437; 6141538; 6991728,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Fast likelihood calculation for multivariate Gaussian phylogenetic models with shifts,2020,https://zbmath.org/7157310
"Royer-Carenzi, Manuela; Didier, Gilles",Zbl,2016-09-05T11:50:29Z,journal article,https://doi.org/10.1016/j.jtbi.2016.05.029,6623171,1343.92367,ancestral state reconstruction; maximum likelihood; Brownian motion; energy distance,English,"JSON3.Object[{
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}, {
     ""code"": ""92B10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Taxonomy, cladistics, statistics in mathematical biology""
}]",2169537; 3802727; 6143715; 1347994; 4102867; 6247814; 6785033,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,A comparison of ancestral state reconstruction methods for quantitative characters,2016,https://zbmath.org/6623171
,Zbl,2017-01-20T15:57:23Z,book / book article,https://doi.org/10.1007/978-1-4939-6622-6,6676672,1378.92002,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""92-02"",
   ""scheme"": ""msc2020"",
     ""text"": ""Research exposition (monographs, survey articles) pertaining to biology""
}, {
     ""code"": ""92-08"",
   ""scheme"": ""msc2020"",
     ""text"": ""Computational methods for problems pertaining to biology""
}, {
     ""code"": ""92C40"",
   ""scheme"": ""msc2020"",
     ""text"": ""Biochemistry, molecular biology""
}, {
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}, {
     ""code"": ""92D10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Genetics and epigenetics""
}, {
     ""code"": ""00B15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Collections of articles of miscellaneous specific interest""
}]",,Irina Ioana Mohorianu,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2017,https://zbmath.org/6676672
Not available,Zbl,2018-06-18T11:24:22Z,journal article,https://doi.org/10.1007/s00180-017-0743-1,6890538,1417.62131,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""62H05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Characterization and structure theory for multivariate probability distributions; copulas""
}, {
     ""code"": ""60E05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Probability distributions: general theory""
}, {
     ""code"": ""62E15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Exact distribution theory in statistics""
}, {
     ""code"": ""62-08"",
   ""scheme"": ""msc2020"",
     ""text"": ""Computational methods for problems pertaining to statistics""
}]",2138974; 3050470; 6082956; 6244335; 1134711; 5308950; 5596929; 933112; 6714830; 6156806; 6512828; 6983899,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2018,https://zbmath.org/6890538
Not available; Not available; Not available,Zbl,2022-09-28T08:34:03Z,journal article,https://doi.org/10.1007/s11538-022-01072-w,7593618,1498.92135,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}]",850224; 2068920; 1183924; 3063409; 811636; 3774590; 3049710; 6388076; 3364733; 3736680; 6644971; 1782877; 6643256,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2022,https://zbmath.org/7593618
Not available; Not available; Not available; Not available; Not available; Not available,Zbl,2023-03-27T12:52:58Z,journal article,https://doi.org/10.1080/01621459.2020.1799812,7668243,1507.62221,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""62D10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Missing data""
}, {
     ""code"": ""62F15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Bayesian inference""
}, {
     ""code"": ""62P10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of statistics to biology and medical sciences; meta analysis""
}]",5782540; 6499939; 3567782; 1558159; 6957234; 6919541; 4088699; 720679; 7157310; 3943611; 3005986,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2022,https://zbmath.org/7668243
"Hu, Di; Xiong, Cai-Hua; Sun, Ronglei",Zbl,2021-06-03T14:13:17Z,journal article,https://doi.org/10.1016/j.jtbi.2021.110646,7354780,1465.92008,foot proportions; relative foot height; bipedal walking energetics; functional model,English,"JSON3.Object[{
     ""code"": ""92C10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Biomechanics""
}, {
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}]",3700400; 7243609; 7054561,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Working out the bipedal walking expenditure of energy based on foot morphology of different hominid genera: implications for foot evolution,2021,https://zbmath.org/7354780
Not available,Zbl,2014-02-14T19:06:51Z,book / book article,https://doi.org/10.1007/978-1-4614-9542-0,6257748,1300.92008,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""92-02"",
   ""scheme"": ""msc2020"",
     ""text"": ""Research exposition (monographs, survey articles) pertaining to biology""
}, {
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}]",,Irina Ioana Mohorianu,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2014,https://zbmath.org/6257748
"Jhwueng, Dwueng-Chwuan",Zbl,2020-03-10T13:39:48Z,journal article,https://doi.org/10.1016/j.csda.2020.106924,7178862,1510.62049,phylogenetic comparative analysis; Gaussian process; Brownian motion; Ornstein-Uhlenbeck process; CIR process; trait evolution; approximate Bayesian computation,English,"JSON3.Object[{
     ""code"": ""62-08"",
   ""scheme"": ""msc2020"",
     ""text"": ""Computational methods for problems pertaining to statistics""
}, {
     ""code"": ""62F15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Bayesian inference""
}, {
     ""code"": ""68R10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Graph theory (including graph drawing) in computer science""
}, {
     ""code"": ""91G30"",
   ""scheme"": ""msc2020"",
     ""text"": ""Interest rates, asset pricing, etc. (stochastic models)""
}]",7220410; 6220574; 2084318; 5505359; 6381317; 6303328; 7281619; 788118; 3657139; 1813698,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Modeling rate of adaptive trait evolution using Cox-Ingersoll-Ross process: an approximate Bayesian computation approach,2020,https://zbmath.org/7178862
"Elliot, Michael G.",Zbl,2018-09-17T04:19:04Z,journal article,https://doi.org/10.1016/j.jtbi.2014.09.033,6937660,1405.92192,comparative methods; directional evolution,English,"JSON3.Object[{
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}]",,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Identical inferences about correlated evolution arise from ancestral state reconstruction and independent contrasts,2015,https://zbmath.org/6937660
"Virta, Joni; Li, Bing; Nordhausen, Klaus; Oja, Hannu",Zbl,2017-11-09T14:00:07Z,journal article,https://doi.org/10.1016/j.jmva.2017.09.008,6804477,1381.62107,FOBI; Kronecker structure; matrix-valued data; multilinear algebra,English,"JSON3.Object[{
     ""code"": ""62H12"",
   ""scheme"": ""msc2020"",
     ""text"": ""Estimation in multivariate analysis""
}, {
     ""code"": ""62H25"",
   ""scheme"": ""msc2020"",
     ""text"": ""Factor analysis and principal components; correspondence analysis""
}, {
     ""code"": ""62G20"",
   ""scheme"": ""msc2020"",
     ""text"": ""Asymptotic properties of nonparametric inference""
}]",6290106; 6375089; 6923298; 1391247; 6085155; 5828042; 7068666; 1547818; 5608004; 1519613; 23393; 5686529; 5882241; 6125288; 45789; 6922761; 6551866; 6111192; 5777366; 2165126; 6523744; 6381996; 5614405; 6098612; 1813698; 6804477; 6896389; 6906665; 6290120; 7555458; 6195959,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Independent component analysis for tensor-valued data,2017,https://zbmath.org/6804477
"Taback, Nathan",Zbl,2022-05-03T15:16:40Z,book / book article,https://doi.org/10.1201/9781003033691,7517342,,nothing,English,"JSON3.Object[{
     ""code"": ""62-01"",
   ""scheme"": ""msc2020"",
     ""text"": ""Introductory exposition (textbooks, tutorial papers, etc.) pertaining to statistics""
}, {
     ""code"": ""62Kxx"",
   ""scheme"": ""msc2020"",
     ""text"": ""Design of statistical experiments""
}, {
     ""code"": ""62-04"",
   ""scheme"": ""msc2020"",
     ""text"": ""Software, source code, etc. for problems pertaining to statistics""
}]",,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Design and analysis of experiments and observational studies using R,2022,https://zbmath.org/7517342
Not available,Zbl,2014-02-14T19:06:51Z,book / book article,https://doi.org/10.1007/978-1-4614-9542-0,6257748,1300.92008,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""92-02"",
   ""scheme"": ""msc2020"",
     ""text"": ""Research exposition (monographs, survey articles) pertaining to biology""
}, {
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}]",,Irina Ioana Mohorianu,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2014,https://zbmath.org/6257748
Not available,Zbl,2014-02-14T19:06:51Z,book / book article,https://doi.org/10.1007/978-1-4614-9542-0,6257748,1300.92008,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""92-02"",
   ""scheme"": ""msc2020"",
     ""text"": ""Research exposition (monographs, survey articles) pertaining to biology""
}, {
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}]",,Irina Ioana Mohorianu,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2014,https://zbmath.org/6257748
Not available,Zbl,2014-02-14T19:06:51Z,book / book article,https://doi.org/10.1007/978-1-4614-9542-0,6257748,1300.92008,zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.; zbMATH Open Web Interface contents unavailable due to conflicting licenses.,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"JSON3.Object[{
     ""code"": ""92-02"",
   ""scheme"": ""msc2020"",
     ""text"": ""Research exposition (monographs, survey articles) pertaining to biology""
}, {
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}]",,Irina Ioana Mohorianu,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Not available,2014,https://zbmath.org/6257748
"Jombart, Thibaut; Pavoine, Sandrine; Devillard, Sébastien; Pontier, Dominique",Zbl,2019-02-12T08:26:44Z,journal article,https://doi.org/10.1016/j.jtbi.2010.03.038,7020452,1406.92428,phylogenetic principal component analysis; pPCA; multivariate; comparative method; phylogenetic signal,English,"JSON3.Object[{
     ""code"": ""92D15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Problems related to evolution""
}, {
     ""code"": ""62P10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of statistics to biology and medical sciences; meta analysis""
}, {
     ""code"": ""62H25"",
   ""scheme"": ""msc2020"",
     ""text"": ""Factor analysis and principal components; correspondence analysis""
}]",2165627; 3053476; 3063411; 5832823,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Putting phylogeny into the analysis of biological traits: a methodological approach,2010,https://zbmath.org/7020452
"Székely, Gábor J.; Rizzo, Maria L.",Zbl,2015-01-06T12:25:39Z,journal article,https://doi.org/10.1214/14-AOS1255,6383654,1309.62105,independence; multivariate; partial distance correlation; dissimilarity; energy statistics,English,"JSON3.Object[{
     ""code"": ""62H20"",
   ""scheme"": ""msc2020"",
     ""text"": ""Measures of association (correlation, canonical correlation, etc.)""
}, {
     ""code"": ""62H15"",
   ""scheme"": ""msc2020"",
     ""text"": ""Hypothesis testing in multivariate analysis""
}, {
     ""code"": ""62G05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Nonparametric estimation""
}]",2151400; 3848468; 1674533; 6368434; 803429; 3305583; 5492743; 1538603; 3945948; 6104681; 6226025; 3626441; 3673370; 3019179; 6265860; 5696871; 6244325; 6247814; 5241122,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,Partial distance correlation with methods for dissimilarities,2014,https://zbmath.org/6383654
"Emily, Mathieu; Hitte, Christophe; Mom, Alain",Zbl,2018-08-15T11:07:32Z,journal article,https://doi.org/10.1016/j.csda.2016.01.017,6918382,1468.6205,dissimilarity; sparse contingency table; single-linkage clustering; conditional profile,English,"JSON3.Object[{
     ""code"": ""62-08"",
   ""scheme"": ""msc2020"",
     ""text"": ""Computational methods for problems pertaining to statistics""
}, {
     ""code"": ""62H17"",
   ""scheme"": ""msc2020"",
     ""text"": ""Contingency tables""
}, {
     ""code"": ""62H30"",
   ""scheme"": ""msc2020"",
     ""text"": ""Classification and discrimination; cluster analysis (statistical aspects)""
}, {
     ""code"": ""68T05"",
   ""scheme"": ""msc2020"",
     ""text"": ""Learning and adaptive systems in artificial intelligence""
}, {
     ""code"": ""62P10"",
   ""scheme"": ""msc2020"",
     ""text"": ""Applications of statistics to biology and medical sciences; meta analysis""
}]",5492743; 3504320; 3117235; 5593672; 6445722,,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,SMILE: a novel dissimilarity-based procedure for detecting sparse-specific profiles in sparse contingency tables,2016,https://zbmath.org/6918382
